doc,query_id,label
doc_2402 ,Q1,1
doc_427 ,Q1,1
doc_3650 ,Q1,1
doc_88 ,Q1,1
doc_2037 ,Q1,1
doc_184 ,Q1,1
doc_2976 ,Q1,1
doc_3318 ,Q1,1
doc_2915 ,Q1,1
doc_1203 ,Q1,1
doc_423 ,Q1,0
doc_2151 ,Q1,0
doc_1866 ,Q1,0
doc_1345 ,Q1,0
doc_154 ,Q1,0
doc_2029 ,Q1,0
doc_3114 ,Q1,0
doc_600 ,Q1,0
doc_1532 ,Q1,0
doc_2091 ,Q1,0
doc_879 ,Q1,0
doc_885 ,Q1,0
doc_815 ,Q1,0
doc_3761 ,Q1,0
doc_1614 ,Q1,0
doc_1359 ,Q1,0
doc_484 ,Q1,0
doc_3860 ,Q1,0
doc_2510 ,Q1,0
doc_2505 ,Q1,0
doc_686 ,Q1,0
doc_894 ,Q1,0
doc_1239 ,Q1,0
doc_2655 ,Q1,0
doc_3539 ,Q1,0
doc_2450 ,Q1,0
doc_1770 ,Q1,0
doc_521,Q1,0
doc_1749 ,Q1,0
doc_2388 ,Q1,0
doc_2981,Q2,1
doc_2635 ,Q2,1
doc_1414 ,Q2,1
doc_2492 ,Q2,1
doc_954 ,Q2,1
doc_1946 ,Q2,1
doc_325,Q2,1
doc_2702 ,Q2,1
doc_2761 ,Q2,1
doc_1048 ,Q2,1
doc_2741 ,Q2,0
doc_3605 ,Q2,0
doc_3025 ,Q2,0
doc_429 ,Q2,0
doc_3125 ,Q2,0
doc_1471 ,Q2,0
doc_1426 ,Q2,0
doc_2724 ,Q2,0
doc_882 ,Q2,0
doc_2525 ,Q2,0
doc_2524 ,Q2,0
doc_2523 ,Q2,0
doc_2522 ,Q2,0
doc_2521 ,Q2,0
doc_2520 ,Q2,0
doc_2519 ,Q2,0
doc_2517 ,Q2,0
doc_2516 ,Q2,0
doc_2515 ,Q2,0
doc_2514 ,Q2,0
doc_2981,Q2,0
doc_32 ,Q3,1
doc_2719 ,Q3,1
doc_823 ,Q3,1
doc_2190 ,Q3,1
doc_3999 ,Q3,1
doc_2470 ,Q3,1
doc_1893 ,Q3,1
doc_1946 ,Q3,1
doc_695 ,Q3,1
doc_1699 ,Q3,1
doc_362 ,Q3,0
doc_1532 ,Q3,0
doc_1812 ,Q3,0
doc_423 ,Q3,0
doc_3940 ,Q3,0
doc_3097 ,Q3,0
doc_457 ,Q3,0
doc_410 ,Q3,0
doc_2008 ,Q3,0
doc_3872 ,Q3,0
doc_2105 ,Q3,0
doc_3977 ,Q3,0
doc_2887 ,Q3,0
doc_3743 ,Q3,0
doc_2679 ,Q3,0
doc_943 ,Q3,0
doc_941 ,Q3,0
doc_3941 ,Q3,0
doc_3276 ,Q3,0
doc_3265 ,Q3,0
doc_1313 ,Q3,0
doc_1211 ,Q3,0
doc_3591 ,Q3,0
doc_2958 ,Q3,0
doc_3085 ,Q3,0
doc_1937 ,Q3,0
doc_1687 ,Q3,0
doc_3884 ,Q3,0
doc_3022 ,Q3,0
doc_2970 ,Q3,0
